Order 0	number of articles 23
0	Aisle 6	Location 28
1	Aisle 11	Location 34
2	Aisle 14	Location 43
3	Aisle 11	Location 36
4	Aisle 2	Location 41
5	Aisle 1	Location 28
6	Aisle 3	Location 8
7	Aisle 4	Location 0
8	Aisle 18	Location 19
9	Aisle 14	Location 20
10	Aisle 11	Location 18
11	Aisle 7	Location 13
12	Aisle 16	Location 23
13	Aisle 7	Location 37
14	Aisle 19	Location 31
15	Aisle 5	Location 8
16	Aisle 1	Location 27
17	Aisle 9	Location 1
18	Aisle 0	Location 4
19	Aisle 10	Location 26
20	Aisle 9	Location 33
21	Aisle 9	Location 15
22	Aisle 15	Location 18
Order 1	number of articles 6
0	Aisle 2	Location 37
1	Aisle 6	Location 21
2	Aisle 14	Location 23
3	Aisle 9	Location 10
4	Aisle 10	Location 22
5	Aisle 9	Location 20
Order 2	number of articles 5
0	Aisle 9	Location 44
1	Aisle 9	Location 36
2	Aisle 1	Location 23
3	Aisle 12	Location 3
4	Aisle 18	Location 31
Order 3	number of articles 15
0	Aisle 18	Location 13
1	Aisle 16	Location 40
2	Aisle 4	Location 0
3	Aisle 4	Location 31
4	Aisle 9	Location 25
5	Aisle 12	Location 44
6	Aisle 15	Location 22
7	Aisle 7	Location 29
8	Aisle 9	Location 33
9	Aisle 7	Location 36
10	Aisle 1	Location 32
11	Aisle 10	Location 1
12	Aisle 18	Location 17
13	Aisle 5	Location 19
14	Aisle 18	Location 30
Order 4	number of articles 8
0	Aisle 9	Location 19
1	Aisle 6	Location 22
2	Aisle 2	Location 3
3	Aisle 14	Location 6
4	Aisle 18	Location 20
5	Aisle 18	Location 44
6	Aisle 12	Location 26
7	Aisle 7	Location 38
Order 5	number of articles 17
0	Aisle 7	Location 10
1	Aisle 18	Location 15
2	Aisle 9	Location 17
3	Aisle 12	Location 32
4	Aisle 16	Location 7
5	Aisle 10	Location 35
6	Aisle 7	Location 36
7	Aisle 11	Location 35
8	Aisle 15	Location 15
9	Aisle 18	Location 38
10	Aisle 7	Location 37
11	Aisle 12	Location 38
12	Aisle 4	Location 40
13	Aisle 10	Location 32
14	Aisle 12	Location 3
15	Aisle 0	Location 24
16	Aisle 7	Location 6
Order 6	number of articles 23
0	Aisle 8	Location 18
1	Aisle 19	Location 15
2	Aisle 3	Location 38
3	Aisle 13	Location 30
4	Aisle 9	Location 2
5	Aisle 16	Location 15
6	Aisle 7	Location 3
7	Aisle 4	Location 40
8	Aisle 0	Location 13
9	Aisle 4	Location 36
10	Aisle 0	Location 27
11	Aisle 18	Location 12
